Student_ID,Age,Score,Hours_Studied,Score_per_Hour
4,25,84,7,12.0
5,18,76,9,8.44
8,20,78,8,9.75
9,28,93,1,93.0
10,29,91,4,22.75
11,21,77,2,38.5
13,27,98,8,12.25
14,21,99,8,12.38
16,20,81,6,13.5
17,25,86,7,12.29
19,29,84,5,16.8
23,28,82,6,13.67
24,19,93,4,23.25
26,18,77,2,38.5
30,29,80,2,40.0
31,27,76,7,10.86
32,21,79,9,8.78
35,24,85,2,42.5
37,27,79,4,19.75
38,28,98,5,19.6
40,26,95,1,95.0
43,19,80,7,11.43
45,20,83,7,11.86
47,21,79,6,13.17
50,27,78,3,26.0
64,26,83,8,10.38
66,29,82,7,11.71
67,25,84,7,12.0
72,21,92,3,30.67
73,22,78,4,19.5
74,28,94,5,18.8
75,24,94,9,10.44
76,24,78,3,26.0
78,22,96,8,12.0
80,18,82,6,13.67
83,22,77,7,11.0
86,26,87,2,43.5
90,23,95,6,15.83
96,29,89,7,12.71
97,21,78,3,26.0
101,29,99,1,99.0
105,20,86,5,17.2
106,27,94,5,18.8
109,22,90,3,30.0
110,18,92,1,92.0
112,29,99,9,11.0
113,19,91,3,30.33
114,29,99,3,33.0
115,28,79,2,39.5
116,23,76,8,9.5
121,24,84,1,84.0
124,20,77,7,11.0
129,23,85,8,10.62
132,26,90,7,12.86
138,26,90,3,30.0
139,24,83,5,16.6
140,19,80,6,13.33
144,25,83,6,13.83
148,20,90,2,45.0
149,21,82,8,10.25
