Student_ID,Age,Score,Hours_Studied
1,20,58,7
2,28,55,5
3,26,43,2
4,25,84,7
5,18,76,9
6,28,55,2
7,29,59,1
8,20,78,8
9,28,93,1
10,29,91,4
11,21,77,2
12,28,64,5
13,27,98,8
14,21,99,8
15,25,47,1
16,20,81,6
17,25,86,7
18,24,48,6
19,29,84,5
20,19,62,4
21,19,72,6
22,27,44,4
23,28,82,6
24,19,93,4
25,28,50,1
26,18,77,2
27,20,51,5
28,22,57,6
29,26,55,9
30,29,80,2
31,27,76,7
32,21,79,9
33,19,47,5
34,28,41,5
35,24,85,2
36,26,74,1
37,27,79,4
38,28,98,5
39,20,70,9
40,26,95,1
41,22,53,2
42,25,74,2
43,19,80,7
44,24,64,2
45,20,83,7
46,23,71,4
47,21,79,6
48,19,63,3
49,23,67,7
50,27,78,3
51,28,62,5
52,21,42,4
53,26,56,8
54,22,54,2
55,28,67,7
56,22,42,8
57,26,55,2
58,27,59,2
59,18,69,3
60,25,51,1
61,22,65,3
62,20,57,3
63,27,73,6
64,26,83,8
65,25,62,3
66,29,82,7
67,25,84,7
68,23,68,5
69,20,44,5
70,24,58,4
71,24,64,6
72,21,92,3
73,22,78,4
74,28,94,5
75,24,94,9
76,24,78,3
77,27,52,5
78,22,96,8
79,26,42,2
80,18,82,6
81,25,53,9
82,22,45,9
83,22,77,7
84,25,72,1
85,29,72,9
86,26,87,2
87,22,54,5
88,19,56,5
89,24,52,3
90,23,95,6
91,21,45,4
92,28,54,2
93,24,75,5
94,18,50,4
95,23,63,3
96,29,89,7
97,21,78,3
98,25,54,4
99,19,59,4
100,29,65,6
101,29,99,1
102,22,49,2
103,26,49,5
104,20,50,3
105,20,86,5
106,27,94,5
107,19,46,3
108,23,62,5
109,22,90,3
110,18,92,1
111,24,64,4
112,29,99,9
113,19,91,3
114,29,99,3
115,28,79,2
116,23,76,8
117,29,41,3
118,20,56,9
119,27,59,9
120,22,47,5
121,24,84,1
122,29,41,6
123,24,74,5
124,20,77,7
125,20,68,8
126,20,55,6
127,26,66,7
128,29,40,4
129,23,85,8
130,26,61,8
131,20,58,8
132,26,90,7
133,29,47,8
134,24,47,2
135,24,48,8
136,19,64,4
137,18,72,6
138,26,90,3
139,24,83,5
140,19,80,6
141,24,44,7
142,28,66,9
143,18,41,6
144,25,83,6
145,19,51,8
146,21,59,1
147,27,63,1
148,20,90,2
149,21,82,8
150,23,66,2
